Time_Period,Time_Label,MCS_1_Location,MCS_1_Location_Type
1,00:00:00,2,Construction
2,00:30:00,2,Construction
3,01:00:00,2,Construction
4,01:30:00,2,Construction
5,02:00:00,2,Construction
6,02:30:00,2,Construction
7,03:00:00,2,Construction
8,03:30:00,2,Construction
9,04:00:00,2,Construction
10,04:30:00,2,Construction
11,05:00:00,2,Construction
12,05:30:00,2,Construction
13,06:00:00,2,Construction
14,06:30:00,2,Construction
15,07:00:00,2,Construction
16,07:30:00,2,Construction
17,08:00:00,2,Construction
18,08:30:00,2,Construction
19,09:00:00,1,Grid
20,09:30:00,1,Grid
21,10:00:00,1,Grid
22,10:30:00,1,Grid
23,11:00:00,1,Grid
24,11:30:00,1,Grid
25,12:00:00,2,Construction
26,12:30:00,2,Construction
27,13:00:00,1,Grid
28,13:30:00,1,Grid
29,14:00:00,2,Construction
30,14:30:00,2,Construction
31,15:00:00,2,Construction
32,15:30:00,2,Construction
33,16:00:00,2,Construction
34,16:30:00,2,Construction
35,17:00:00,2,Construction
36,17:30:00,2,Construction
37,18:00:00,2,Construction
38,18:30:00,2,Construction
39,19:00:00,2,Construction
40,19:30:00,2,Construction
41,20:00:00,2,Construction
42,20:30:00,2,Construction
43,21:00:00,2,Construction
44,21:30:00,2,Construction
45,22:00:00,2,Construction
46,22:30:00,2,Construction
47,23:00:00,2,Construction
48,23:30:00,2,Construction
